(cord#neutral)(battery life#positive),I charge it at night and skip taking the cord with me because of the good battery life.
(iTunes#positive)(program#positive),"iTunes is a handy music-management program, and it is essential for anyone with an iPod."
,"-I give up on my data, I just want a computer reasonably fast..."
,Would buy 100 more of these if I could.
,"  while it was barely a bargin in the begining, i would never purchase another dell and would not recomend the dell brand to others."
,it was shooting sparks!
,Great product.
(gaming#negative),Mac is not made for gaming.
(battery#negative),"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD."
(Apple support#positive)(techs#positive),"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me."
(adding the bluetooth#negative),But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.
,  By this time I was regretting ever SEEING this machine on the shelf!
,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!"
(graphic power#neutral)(Adobe Creative apps#neutral),I need graphic power to run my Adobe Creative apps efficiently.
(programs#positive)(use#positive),the programs are esay to use and are quick to process this computer works like a charm.
(materials#negative),The materials that came with the computer did not include the right # anywhere.
,So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of people you cant understand.
,That day!
,""" For one, I noticed that from turning on my mac to logging on only took about 25 seconds."
(software#negative),It does not even have the software to play a dvd now.
,My brother is a computer wiz and would laugh at me because he used an Apple.
(Tech support#positive)(power supply#negative),Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.
,"Since I never really got to use this, I can't comment on anything except what went wrong after trying 2 of them."
,Buyers beware.
(POWER SUPPLY#negative),HOW DOES THE POWER SUPPLY NOT WORK!!!
(size#positive),Sells for the same as a netbook without sacrificing size.
,  I'll rather be out of date then spend more money on toshiba.
(warranty#neutral),"  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired."
(Windows XP SP2#negative),"Windows XP SP2 caused many problems on the computer, so I had to remove it."
,Love it.
(Windows 7 Ultimate#negative)(Bluetooth#negative)(Fingerprint reader#negative)(software#negative),"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load."
(techs at HP#negative),None of the techs at HP knew what they were doing.
,"Oh, it is such a great piece of equipment."
(video card#negative),"this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy."
,"I use that alot on my desktop, so I am adjusting to not having it."
(graphics#positive)(security#positive),"With awesome graphics and assuring security, it's perfect!"
(audio#negative),"Laptop was in new condition and operational, but for the audio problem when 1st sent for repair."
(keyboard#negative),I was disappointed when I realized that the keyboard doesn't light up on this model.
,This machine was a horrible experience.
(runs#positive),It runs perfectly.
,"Very dissappointed becase I have had toshibas for years, and never a issue."
,If you have any creativity in you do yourself a favor and get a mac!
(set up#positive),The laptop was very easy to set up.
,Congratulations Asus for creating one big piece of dump which is my laptop.
(screen#negative),  Sometimes the screen even goes black on this computer.
,I would definitely recommend checking out this laptop if you are in the market for one.
(word processing#positive)(internet#positive),I recommend for word processing and internet users.
(trackpad#positive),Since I've had this computer I've only used the trackpad because it is so nice and smooth.
,"  When the computer has been on for several minutes, it will occasionaly just go off by itself."
(battery life#conflict)(spec#positive),A longer battery life would have been great - but it meets it's spec quite easily.
(HD#positive)(graphics chip#positive)(components#positive)(DVD burner#positive),"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer."
